MV Material Name,AusGeochem Material Name
Glacial Pebbles,Pebbles
Black Coal,Coal
Almandine-chlorite schist,Schist
Antimony ore,Ore
Septarian nodule,Concretion
Olivine Leucitite,Leucitite
Lamprophyre var Malchite,Lamprophyre
Staurolite Mica Schist,Schist
Lamprophyre var Camptonite,Lamprophyre
Lamprophyre var Vogesiite,Lamprophyre
Dyke,Igneous rock
Tachylitic Basalt,Basalt
Chloritized Porphyrite Dyke,Porphyry
Diorite Dyke,Diorite
Silicified Dunite,Dunite
Fossiliferous Quartz Sandstone,Sandstone
Nepheline Syenite Breccia,Breccia
Alnoite Breccia,Breccia
Nickel-Copper-Cobalt ore,Ore
Volcanic Lapilli,Lapilli Tuff
Hedenbergite Sphalerite Rock,Rock of restricted mineralogy
Garnet Sphalerite Rock,Rock of restricted mineralogy
Epidote Sphalerite Rock,Rock of restricted mineralogy
Trachy Phonolite,Phonolite
Riebeckite Comendite,Comendite
Goethite Accretion,Concretion
Muscovite Feldspar Quartz Schist,Schist
Ventifact,NA
Auriferous Hornfels,Hornfels
Chalcopyrite ore,Ore
Ferruginous Conglomerate,Conglomerate
Silicified Wood,Petrified Wood
Garnet Pyroxenite,Pyroxenite
Shattercone Sandstone,Sandstone
Auriferous Ore,Ore
Serpentinised Gabbro,Gabbro
Biotite Garnet Cordierite Gneiss,Gneiss
Diopside Diallage Gabbro,Gabbro
Volcanic Bomb,Igneous rock
Molybdenite Ore,Ore
Malachite Hematite Copper Ore,Ore
Tellurium Ore,Ore
Granite Porphyry,Granite
Danburite Hornfels,Hornfels
Xenolith,NA
Kauri Gum,Ambrite
Quartz Feldspar Porphyry,Porphyry
Wollastonite-rock,Rock of restricted mineralogy
Topaz Sand,Topaz
Washdirt,Ore
Wash Dirt,Ore
Volcanic Siltstone,Siltstone
Diopside Garnet Skarn,Skarn
Sandstone (Itacolumite),Sandstone
Barite ore,Ore
Lava Medallion,Igneous rock
Volcanic bombs,Igneous rock
Porphyritic Granodiorite,Granodiorite
Calcite-Fluorite-Willemite rock,Rock of restricted mineralogy
Grit,Sandstone
Pebble,Pebbles
Zebra Rock,Siltstone
Varvite,Sedimentary rock
Banded Jasper - Hematite,Jaspillite
Varve,Sedimentary rock
Eudialyte Pegmatite,Pegmatite
Hornblende Pegmatite,Pegmatite
Impact breccia,Breccia
Mica Lamprophyre,Lamprophyre
Talc Schist,Schist
Quartz monzonite,Monzonite
Trachytic Breccia,Breccia
Manganese ore,Ore
"Cassiterite, Stream Tin Ore",Ore
Biotite Quartz Gneiss,Gneiss
Bustamite Calcite Sphalerite Rock,Rock of restricted mineralogy
Silver-lead ore,Ore
Calcareous Concretion,Concretion
Porphyry Dykes,Porphyry
Doleritic Basalt,Basalt
Fossil wood,Petrified Wood
Vesicular basalt,Basalt
Concretions,Concretion
Spinel Forsterite Skarn,Skarn
Garnet Biotite Muscovite Feldspar Gneiss,Gneiss
Siliceous schist,Schist
Biotite Feldspar Quartz Gneiss,Gneiss
Biotite Feldspar Quartz Schist,Schist
Garnet Muscovite Feldspar Quartz Gneiss,Gneiss
Galena sphalerite ore,Ore
Welded Andesite Tuff,Andesite
Jasper Agate,Agate
Calcite Accretions,Concretion
Rhodonite-Galena Ore,Ore
Mixed Sulphide Ore,Ore
Vanadium bearing hematite,Rock of restricted mineralogy
Eudialyte Thorite Amphibole Gneiss,Gneiss
Biotite Muscovite Schist,Schist
Malachite ore,Ore
Rhizoconcretions,Concretion
Graphitie Schist,Schist
Muscovite Biotite Garnet Schist,Schist
Mica Quartz Schist,Schist
Amphibole Biotite Schist,Schist
Basaltic Scoria,Basalt
Diorite Porphyry,Diorite
Fibrous Serpentinite,Serpentinite
Quartz Trachyte,Trachyte
Clinochlore Quartz Schist,Schist
Muscovite Quartz Schist,Schist
Feldspar Augen Gneiss,Gneiss
Biotite Quartz Feldspar Gneiss,Gneiss
Graphite Quartz Schist,Schist
Ultramafic,Ultramafic-rock
Pyrometamorphic Skarn,Skarn
LeuciteTephrite,Tephrite
Feldspar Muscovite Quartz Gneiss,Gneiss
Amphibole Garnet Schist,Schist
Fuschite Quartz Schist,Schist
Tourmaline Quartz schist,Schist
Tonalite Gneiss,Gneiss
Toscanite,Rhyodacite
Feldspar Quartz Gneiss,Gneiss
Metadolerite - Gabbro 'Greenstone',Gabbro
Hedenbergite Andradite Skarn,Skarn
Quartz - Feldspar Porphyry,Porphyry
Banded Hematitic Quartzite,Quartzite
Feldspar Biotite Gneiss,Gneiss
Richterite-Phlogophite-Diopside Lamproite,Lamproite
Arsenopyrite ore,Ore
Andradite Grossular Skarn,Skarn
Apatite Augen Gneiss,Gneiss
Scapolite-Sodalite Skarn,Skarn
Skarn Ore,Ore
Hypersthene Biotite Schist,Schist
Feldspar Biotite Quartz Gneiss,Gneiss
Almandine  Gedrite Schist,Schist
Topazite,Rock of restricted mineralogy
Amphibole Schist,Schist
Garnet Sandstone,Sandstone
Galena ore,Ore
Fault Breccia,Breccia
