MV Material Name,AusGeoChem Material Name
Ablykite,Ablykite
Alvikite,Alvikite
Astorite,Astorite
Baramite,Baramite
Chalcedon,Chalcedon
Birch bog peat,Birch bog peat
dynamogranite,dynamogranite
Feldspathic Gneiss,Feldspathic Gneiss
UM2007-19-PO:CaFeHMg,UM2007-19-PO:CaFeHMg
Garbenschiefer,Garbenschiefer
Gold ore,Gold ore
Cobaltoan Smithsonite,Cobaltoan Smithsonite
Infinite,Infinite
Kyanite gneiss,Kyanite gneiss
Hunchunite,Hunchunite
Deltaita,Deltaita
Marble,Marble
Kyanite schist,Kyanite schist
Cobaltoan Rhodochrosite,Cobaltoan Rhodochrosite
Muscovite-biotite gneiss,Muscovite-biotite gneiss
Ba-zeolite,Ba-zeolite
Quartz-sericite schist,Quartz-sericite schist
Vogesite,Vogesite
Fleischerite Group,Fleischerite Group
Patricianite,Patricianite
Perhamite Group,Perhamite Group
Phillipite,Phillipite
Picrotephroite,Picrotephroite
Plumbocuprite,Plumbocuprite
Prasiolite,Prasiolite
Pushcharovskite,Pushcharovskite
Randite,Randite
Red Beryl,Red Beryl
Reinite,Reinite
Riebeckrichterite,Riebeckrichterite
Rozenite Group,Rozenite Group
Saussurite,Saussurite
Sazhinite,Sazhinite
Shocked Quartz,Shocked Quartz
Skiagite,Skiagite
Sweetite,Sweetite
